scale,name,area_sq_km,perimeter_km,polsby_popper,convex_hull_ratio,min_rect_ratio,polsby_popper_percentile,convex_hull_percentile,min_rect_percentile
Washington legislative districts,1,140.1090783264903,87.96871618732114,0.22752002791202436,0.698970919416784,0.5142293587115575,0.16326530612244897,0.24489795918367346,0.16326530612244897
Washington legislative districts,2,2618.8355210236728,398.45713371674395,0.2072787943227952,0.7489131040997393,0.5754493067321659,0.08163265306122448,0.40816326530612246,0.42857142857142855
Washington legislative districts,3,107.01821474585356,69.17264881683963,0.28105981314040834,0.696747429539618,0.5426996676928104,0.3877551020408163,0.22448979591836735,0.2857142857142857
Washington legislative districts,4,1032.5353617041617,180.83661096297115,0.396772970891572,0.925864727830902,0.821706495131758,0.7755102040816326,1.0,1.0
Washington legislative districts,5,2000.9799691180501,326.5041890070336,0.23587129420135183,0.7724017540978823,0.5816402472319715,0.1836734693877551,0.5714285714285714,0.4489795918367347
Washington legislative districts,6,1072.0926974622466,235.46867517036543,0.242983017584675,0.7536241952727656,0.571122915615845,0.22448979591836735,0.4489795918367347,0.3877551020408163
Washington legislative districts,7,34462.98043074066,1124.1567652427086,0.34269592525865117,0.8252884838403586,0.6723585038299902,0.6530612244897959,0.7959183673469388,0.8367346938775511
Washington legislative districts,8,1343.2703736337082,232.15258863145428,0.31320323492463104,0.7842871455035102,0.6247407246743986,0.5714285714285714,0.6326530612244898,0.6326530612244898
Washington legislative districts,9,24373.845190185948,905.9283778983727,0.37320390938655845,0.8110088363437218,0.6412452812360561,0.7346938775510204,0.7142857142857143,0.7142857142857143
Washington legislative districts,10,2026.4706900014435,264.18539746298774,0.36486530897444014,0.7632903079042335,0.5910778632180662,0.7142857142857143,0.5102040816326531,0.5102040816326531
Washington legislative districts,11,107.31516503475622,97.93837601190644,0.1405934748921255,0.6112835876537452,0.4972204116465446,0.02040816326530612,0.02040816326530612,0.061224489795918366
Washington legislative districts,12,10996.898991894077,794.9873904183819,0.21865510410753336,0.6758036675910101,0.49998621110826696,0.12244897959183673,0.14285714285714285,0.08163265306122448
Washington legislative districts,13,13418.24929786723,841.7129785119315,0.23800039236402307,0.6644080531887757,0.5104353527296213,0.20408163265306123,0.10204081632653061,0.14285714285714285
